iter	Passed	Remaining
1192	19024	2567
1193	19038	2551
1194	19059	2535
1195	19074	2519
1196	19089	2503
1197	19103	2487
1198	19122	2472
1199	19136	2455
1200	19152	2439
1201	19167	2423
1202	19182	2407
1203	19196	2391
1204	19211	2375
1205	19226	2359
1206	19241	2343
1207	19256	2327
1208	19278	2312
1209	19294	2296
1210	19309	2280
1211	19325	2264
1212	19345	2248
1213	19362	2232
1214	19377	2216
1215	19391	2200
1216	19406	2184
1217	19419	2168
1218	19433	2152
1219	19447	2136
1220	19461	2119
1221	19474	2103
1222	19491	2087
1223	19508	2071
1224	19522	2055
1225	19537	2039
1226	19557	2024
1227	19571	2008
1228	19585	1992
1229	19599	1975
1230	19613	1959
1231	19627	1943
1232	19641	1927
1233	19655	1911
1234	19668	1895
1235	19684	1879
1236	19701	1863
1237	19719	1847
1238	19733	1831
1239	19749	1815
1240	19768	1799
1241	19782	1783
1242	19797	1767
1243	19811	1751
1244	19826	1735
1245	19840	1719
1246	19854	1703
1247	19869	1687
1248	19883	1671
1249	19898	1655
1250	19914	1639
1251	19933	1623
1252	19948	1608
1253	19963	1591
1254	19982	1576
1255	19996	1560
1256	20011	1544
1257	20025	1528
1258	20040	1512
1259	20055	1496
1260	20070	1480
1261	20086	1464
1262	20101	1448
1263	20118	1432
1264	20137	1416
1265	20152	1400
1266	20169	1384
1267	20186	1369
1268	20201	1353
1269	20215	1337
1270	20229	1321
1271	20244	1305
1272	20258	1289
1273	20272	1273
1274	20286	1256
1275	20300	1240
1276	20316	1225
1277	20335	1209
1278	20350	1193
1279	20371	1177
1280	20387	1161
1281	20401	1145
1282	20416	1129
1283	20431	1113
1284	20445	1097
1285	20460	1081
1286	20475	1065
1287	20488	1049
1288	20503	1033
1289	20517	1017
1290	20530	1001
1291	20552	986
1292	20566	970
1293	20581	954
1294	20595	938
1295	20609	922
1296	20623	906
1297	20638	890
1298	20653	874
1299	20666	858
1300	20680	842
1301	20694	826
1302	20708	810
1303	20722	794
1304	20737	778
1305	20751	762
1306	20771	746
1307	20787	731
1308	20802	715
1309	20816	699
1310	20830	683
1311	20845	667
1312	20859	651
1313	20873	635
1314	20887	619
1315	20902	603
1316	20916	587
1317	20930	571
1318	20944	555
1319	20961	539
1320	20978	524
1321	20993	508
1322	21007	492
1323	21021	476
1324	21035	460
1325	21049	444
1326	21064	428
1327	21078	412
1328	21093	396
1329	21107	380
1330	21122	364
1331	21135	349
1332	21148	333
1333	21164	317
1334	21182	301
1335	21197	285
1336	21211	269
1337	21225	253
1338	21239	237
1339	21253	222
1340	21268	206
1341	21282	190
1342	21296	174
1343	21311	158
1344	21325	142
1345	21338	126
1346	21352	110
1347	21368	95
1348	21388	79
1349	21404	63
1350	21424	47
1351	21439	31
1352	21457	15
1353	21472	0
